id,id_no,op_num,first_name,last_name,age,Sex,Status,phone_num,physical_address,dob,nhif,number_of_visits,date_in
,42299131,382176,Ali,Rajabli,80,Male,Active,745444447,qweqewqeqwe,21-07-22,486770,4,03-01-21
,37064917,357653,Ugo,Ekpemu,10,Male,Active,775517255,"4th Avenue A Close Plot1568, Festac Town, Lagos",20-07-22,292116,4,30-07-22
,18343277,471082,AAA,AAA,25,Male,Active,772151142,Kisumu,19-07-22,636326,4,21-05-21
,38188375,366367,AHMED,ASIRI,41,Male,Active,742784974,ABHA,11-07-87,735918,4,17-11-21
,60538251,885884,Duke,Asuquo,73,Male,Active,760057075,"4th Avenue A Close Plot1568, Festac Town, Lagos",18-07-22,901271,5,02-06-20
,41016026,803748,Ray,Peter,85,Male,Active,793333508,no. 2 king way,14-07-22,675020,2,15-10-20
,73772599,225244,Brijesh,Bhati,94,Male,Active,723720288,"A-46, Jitar Nagar, Parwana Road, Street - 3",14-07-22,683278,2,06-04-21
,50466781,396462,GITA,DAS,81,Male,Active,761742035,Manickpur Ramkrishnagarh P.O - Italgacha Kolkata- 700079,08-05-40,519831,1,16-11-20
,45802819,127385,sasf,sdd,5,Male,Active,768424892,gjgff vgfg ghcg ggv hh,03-07-22,410207,2,25-11-20
,51368100,810136,Tomusange,willima,91,Male,Active,754636317,kamamaa,23-10-04,658464,2,05-07-20
,77819409,243635,Taazeem,sammys,29,Male,Active,708158362,"4JWR+F35, Hunasamaranahalli,",08-05-07,946318,2,23-08-21
,40738815,193510,yjh jty,fg fj,44,Male,Active,707997251,ghm yukm u,14-06-22,557813,2,30-06-21
,27388250,541296,yjh jty,fg fj,54,Male,Active,746755608,fdhg rt htrujrt thrjy,24-06-22,385347,1,12-09-19
,15021531,462529,dao,kim,3,Female,Active,712222724,"Tran xuan hoa, Q5",23-06-22,192494,4,11-04-19
,10649660,372231,Elijah,Kirabira,40,Male,Active,742373402,Plot 2 Nakasero Hill road,22-06-22,482728,2,11-04-19
,21343759,776408,ravi,gg,32,Male,Active,729293374,Belgaum,20-04-94,977956,2,24-02-22
,18505450,579331,Ali,M,62,Male,Active,794152635,Tubli,21-06-22,119436,3,06-09-20
,43032263,366399,Foysal,Hurley,56,Male,Active,710011134,Optio molestias duis elit cumque ipsum,22-06-22,472871,1,09-07-20
,48896427,447665,Demo,De,90,Male,Active,729277697,sADASDASD,20-06-22,186495,5,21-07-22
,50809019,407910,hftg,fhhf,57,Male,Active,728511263,hghghghghghg,08-06-10,855509,4,01-05-20
,42877381,159751,Tamim,Hasan,76,Male,Active,718886086,Mirpur-2,16-06-22,790044,3,30-10-19
,63621709,826916,Achmad,Arif,91,Male,Active,731801169,penjaringan huy,13-06-22,880007,5,14-08-20
,76760037,509105,Shanto,Halder,3,Male,Active,732737954,dhaka,14-09-95,157511,1,16-07-22
,35416337,664982,Mara,Maxime,55,Male,Active,766026050,RATOMA KIPE,16-06-98,900721,1,20-01-21
,63692644,606703,jamil,umban,3,Male,Active,763829372,miai,12-12-99,528172,3,20-02-20
,54777554,368534,Mohammad,Abuhashish,63,Male,Active,704077668,Zschopauer Str. 58a,02-06-22,156998,1,29-03-21
,18479604,310959,Rishika,sharma,52,Female,Active,752946218,testing,03-06-92,539038,4,06-05-22
,68205495,192123,Bashir,Noori,70,Male,Active,760355416,"kabul, afghanistan",11-06-08,221875,4,26-11-21
,31685322,445674,Rasel,Raj,56,Male,Active,795214135,Dhaka,04-01-97,889757,1,02-10-21
,10946509,780178,Ebode,Lambert steve,55,Male,Active,700255937,"Mvan, complexe Beac",30-05-22,987961,1,08-03-21
,89917693,377901,webexpert,infotech,35,Male,Active,710073955,chandkheda,27-05-95,673659,2,18-03-21
,86753965,284321,peter,petr,8,Male,Inactive,777769896,ruai,24-05-22,735618,2,25-12-21
,63350573,340510,John,Doe,38,Male,Active,702807591,Myslym Shyri,22-05-93,819148,3,19-06-20
,14476791,261212,Sabbir,Ahmed,76,Male,Active,773917725,Bogra,01-01-70,466877,2,22-12-19
,20617910,747592,areses7,ISSO,91,Male,Active,738765558,Casablanca,20-05-22,589122,1,27-11-21
,41266839,744009,demo,patient,32,Male,Active,711485115,testing,20-05-22,216111,1,05-04-19
,72336504,134420,RRRR,RRR,25,Male,Active,723101322,VVVVVVVVDDDDDDD,17-05-22,911686,4,18-09-20
,82130475,606092,ABC,CDS,84,Male,Active,714226852,scscsc,17-05-22,548418,4,19-01-20
,73218238,787640,Jose,Doe,25,Male,Active,703786972,Msambweni,04-01-22,488867,3,05-02-22
,51688676,676074,test,patient,26,Male,Active,720379061,mwingi,13-05-22,294174,5,06-12-19
,34998881,369675,Md,Sahabuddin,53,Male,Active,747310997,asfddf,10-05-22,504729,1,07-01-19
,15226472,659164,w,w,15,Male,Active,743886382,vv,10-05-22,727123,4,15-05-22
,54200921,570557,Amber,Ami,71,Male,Active,704345690,H.No 45 St No 17 F-10/2,08-05-22,546027,4,23-01-19
,67747500,841398,samwel,damian,82,Male,Active,749668309,hhhh,06-05-22,324474,1,14-06-21
,40549817,311184,NISAR,Hussain,69,Male,Active,761358167,National Highway,06-05-22,986806,3,16-09-19
,44256870,764948,demo,ghafoor,94,Male,Active,750549367,ghar k bahar,05-05-22,511819,5,14-10-19
,25816887,240542,Test,Patient,23,Male,Active,784838837,"B475, Ayodhya Road, Sultanpur - 228001 UP-",01-05-09,142027,1,14-07-22
,24639384,747635,Bhaskar Jyoti,Barman,17,Male,Active,784253015,Mangaldai,30-04-76,105872,5,04-05-20
,50940761,119757,kamal,ahmed,37,Male,Active,786949888,sdsdf FASDF A,08-04-04,882928,3,17-02-19
,23217736,607879,DEBOLINA,BISWAS,92,Female,Active,726358477,DUM DUM ROAD ,24-11-97,801124,1,17-06-21
,51503780,410155,Dangu,Raja,47,Male,Active,732307751,"barpipal, gangtok, sikkim",27-04-22,670004,1,20-11-21
,46062224,198001,hasnaa,helal,3,Female,Active,742474363,hjgghjg,05-04-02,467353,5,28-03-20
,78456488,433677,hasnaa,helal,3,Female,Active,731389432,hjgghjg,05-04-02,415815,4,17-09-21
,11464342,556616,raj,kumar,89,Male,Active,732190237,trial testing,01-04-95,318867,5,17-08-19
,80398513,482293,Md,Sumon,70,Male,Active,727924705,Manama,02-08-83,694987,4,06-09-19
,83172002,190934,Md,Pulak,70,Male,Active,723465099,"820 abrams rd, Richardson, tx-75081",01-01-67,968188,1,01-02-20
,53719871,846061,Ronad,MV,26,Male,Active,769656072,"#47, 2nd Main Road, Near Temple, Hubli",08-09-80,390571,2,28-12-19
,52850951,272516,Moghh,Vhj,50,Male,Active,764804892,Bghh,11-04-22,804463,3,20-01-19
,10834809,596197,Mille,Tante,77,Other,Active,728230017,"barpipal,gangtok",11-04-22,201795,4,18-06-20
,86949595,716972,TAUQUEER,AHMAD,29,Male,Active,714209986,"F-3, 40 FEETA ROAD, SHAHEEN BAGH",10-04-22,574311,5,03-09-19
,74449161,613428,Bhaskar Jyoti,Barman,88,Male,Active,719906349,Mangaldai,10-04-22,651249,3,10-08-21
,43394735,181736,v g h,vgvgv,52,Female,Active,739275514,recfcvgfv,09-04-22,562652,2,05-02-19
,74707678,459127,Amb,Chandra,60,Male,Active,716927648,Mithila Colony,09-04-22,319876,5,02-11-19
,87170817,694518,juma,linna,8,Male,Active,753344377,dfgdfgfdgfdg,05-04-83,865825,4,30-04-20
,58571104,183562,moha,hasan,17,Male,Active,730146955,addis abab bole,07-04-22,440637,4,04-05-19
,51665195,351516,ahmed,lako,84,Male,Active,701333275,rue 14 n 10,04-04-22,284203,4,16-04-20
,83019545,129775,Dara,Dar,53,Male,Active,780475376,2956 Ell2,03-04-62,753613,2,10-05-21
,77905669,896913,md,Nayeem,84,Male,Active,783777388,dfbfdbdfgbdfgghd,02-04-22,645695,1,10-04-20
,55206651,264324,Shubham,Pandit,71,Male,Active,767854278,zaaaaa,12-04-22,956643,1,07-11-21
,56640063,733563,Suzan,Atoko,38,Male,Active,743651188,"ntebetebe, bweyogerere",24-08-88,799707,4,05-07-22
,47692599,113297,muhama,mark,39,Male,Active,761254236,colville street shumuk house,31-03-22,121816,2,11-02-21
,33980491,204115,Bsbs,Bsbd,77,Female,Active,757611524,Hzhzg,29-03-22,568224,2,04-06-21
,44416504,429553,ashutosh,behera,42,Male,Active,729255681,"Chadrihariharpur, Kuarmunda,Rourkela, Sundargarh",23-03-22,813461,3,18-04-22
,64818442,706439,gf,jdj,8,Male,Active,745896144,gfhfghfg,17-03-22,502994,2,22-01-20
,70635915,317121,mohan,raj,50,Male,Active,785097096,ss,19-03-22,821946,1,03-10-19
,11095305,455351,MD,EMON,20,Male,Active,795827796,katgor,16-03-22,709082,2,26-07-21
,20849392,515739,Sumaiya,Baloch,69,Female,Active,742467273,link road Muhammad Shahi town saryab road Quetta,04-07-02,757423,5,16-06-20
,57508903,126654,SINGHAM,SINH,82,Female,Active,717190449,ZZZZZZZZ,12-03-82,501700,1,11-08-19
,26639235,669432,sumaiya,baloch,32,Female,Active,757746290,link badiani muhammad shahi town quetta,11-03-22,958977,4,29-08-20
,77200512,229801,Azhar,Haneef,14,Male,Active,736792632,"Noor Colony Shadi Pura Daroghwala, Lahore",05-03-03,121062,5,09-01-20
,38643938,544057,Md Zannatul,Rana,27,Male,Active,778324133,"Lahini Bottla, Mohini Mills",31-03-22,840276,4,05-08-20
,73998955,501059,Tanzil,jhan,93,Male,Active,706123912,demo address,22-05-07,637858,4,10-06-20
,15440645,111083,Ruzena,Bajcsy,92,Male,Active,703028630,demo test,16-05-20,803752,4,05-06-20
,41397947,337971,Polly,Matzinger,95,Male,Active,716933859,demo test,16-05-20,539139,4,26-01-22
,67612035,257705,Maria,Mitchell,47,Male,Active,780948214,demo,16-05-20,573134,1,21-02-21
,72348705,493966,Johannes,Kepler,40,Male,Active,799513094,demo,16-05-20,256508,4,23-03-21
,22653331,246543,Erwin,Schroedinger,48,Male,Active,774775704,demo,16-05-20,714463,5,05-07-20
,66287140,557839,Enrico,Fermi,9,Male,Active,749501233,demo test,16-05-20,689884,2,05-01-22
,68062305,524548,MR.Grinch,Grinch,93,Male,Active,766365068,83 Taltarni Road STUART MILL VIC 3478,09-05-01,945545,4,11-05-21
,75975838,753599,willy,Nelson,64,Male,Active,709898826,demo Address,04-05-93,752159,3,29-05-19
,82300973,628792,Henry,Walker,17,Male,Active,725196058,test address,11-05-94,692081,3,05-05-21
